"Source Table: ACSDT1Y2023.B19013"

"Geographic Area Name","Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","MoE"
"Daphne-Fairhope-Foley, AL Metro Area","72,915","± 5,636"
"Dover, DE Metro Area","72,910","± 6,257"
"Sheboygan, WI Metro Area","72,902","± 4,840"
"Fargo, ND-MN Metro Area","72,889","± 4,463"
"Spokane-Spokane Valley, WA Metro Area","72,819","± 2,651"
"Walla Walla, WA Metro Area","72,812","± 8,988"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","72,743","± 1,336"
"Detroit-Warren-Dearborn, MI Metro Area","72,574","± 867"
"Pittsburgh, PA Metro Area","72,532","± 1,008"
"Tyler, TX Metro Area","72,313","± 7,247"
"Springfield, IL Metro Area","72,201","± 4,472"
"Minot, ND Metro Area","72,073","± 9,527"
"Ames, IA Metro Area","72,007","± 5,217"
"Dubuque, IA Metro Area","71,940","± 5,665"
"Iowa City, IA Metro Area","71,905","± 5,243"
"Punta Gorda, FL Metro Area","71,806","± 4,342"
"Flagstaff, AZ Metro Area","71,738","± 4,820"
"Medford, OR Metro Area","71,666","± 3,702"
"Cape Coral-Fort Myers, FL Metro Area","71,547","± 1,921"
"Grand Forks, ND-MN Metro Area","71,529","± 3,896"
"Monroe, MI Metro Area","71,506","± 5,167"
"La Crosse-Onalaska, WI-MN Metro Area","71,312","± 3,410"
"Fond du Lac, WI Metro Area","71,285","± 6,101"
"Davenport-Moline-Rock Island, IA-IL Metro Area","71,262","± 3,786"
"Lincoln, NE Metro Area","71,163","± 2,749"
"Fresno, CA Metro Area","71,140","± 1,838"
"Killeen-Temple, TX Metro Area","71,013","± 2,137"
"Lewiston, ID-WA Metro Area","71,005","± 9,458"
"Longview-Kelso, WA Metro Area","70,959","± 6,755"
"Grand Island, NE Metro Area","70,919","± 5,746"
"Billings, MT Metro Area","70,849","± 5,208"
"Sioux City, IA-NE-SD Metro Area","70,718","± 9,144"
"Albany, OR Metro Area","70,548","± 5,902"
"Salisbury, MD Metro Area","70,528","± 6,145"
"Eugene-Springfield, OR Metro Area","70,374","± 3,207"
"Duluth, MN-WI Metro Area","70,208","± 2,908"
"Akron, OH Metro Area","70,125","± 2,884"
"Lexington-Fayette, KY Metro Area","70,027","± 2,880"
"Lansing-East Lansing, MI Metro Area","70,007","± 2,690"
"Oshkosh-Neenah, WI Metro Area","69,957","± 3,376"
"Oklahoma City, OK Metro Area","69,895","± 1,620"
"Knoxville, TN Metro Area","69,872","± 2,040"
"Buffalo-Cheektowaga, NY Metro Area","69,861","± 1,917"
"Tucson, AZ Metro Area","69,758","± 2,409"
"Panama City-Panama City Beach, FL Metro Area","69,690","± 3,321"
"Yakima, WA Metro Area","69,525","± 5,533"
"Victoria, TX Metro Area","69,490","± 8,883"
"Greenville-Anderson-Greer, SC Metro Area","69,413","± 2,168"
"Columbia, MO Metro Area","69,375","± 5,639"
"Birmingham, AL Metro Area","69,284","± 1,967"
"Brunswick-St. Simons, GA Metro Area","69,235","± 5,378"
"State College, PA Metro Area","69,101","± 5,614"
"Sherman-Denison, TX Metro Area","69,019","± 10,996"
"Mankato, MN Metro Area","69,016","± 5,181"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","68,988","± 3,283"
"Louisville/Jefferson County, KY-IN Metro Area","68,921","± 2,463"
"Bakersfield-Delano, CA Metro Area","68,893","± 2,594"
"Chattanooga, TN-GA Metro Area","68,677","± 2,820"
"Jefferson City, MO Metro Area","68,629","± 3,858"
"Peoria, IL Metro Area","68,504","± 2,985"
"Pocatello, ID Metro Area","68,495","± 8,582"
"Port St. Lucie, FL Metro Area","68,316","± 3,023"
"Asheville, NC Metro Area","67,837","± 4,601"
"Albuquerque, NM Metro Area","67,640","± 2,150"
"Jacksonville, NC Metro Area","67,597","± 3,696"
"Cleveland, OH Metro Area","67,586","± 1,372"
"Wichita, KS Metro Area","67,434","± 2,651"
"Athens-Clarke County, GA Metro Area","67,364","± 4,967"
"Ithaca, NY Metro Area","67,247","± 5,708"
"Prescott Valley-Prescott, AZ Metro Area","67,245","± 3,474"
"Kalamazoo-Portage, MI Metro Area","67,191","± 2,666"
"Columbia, SC Metro Area","67,189","± 2,541"
"Elkhart-Goshen, IN Metro Area","67,188","± 5,056"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","67,176","± 2,834"
"Augusta-Richmond County, GA-SC Metro Area","67,152","± 2,867"
"Clarksville, TN-KY Metro Area","67,082","± 3,370"
"Dayton-Kettering-Beavercreek, OH Metro Area","67,070","± 2,208"
"Lynchburg, VA Metro Area","67,050","± 3,614"
"Lawrence, KS Metro Area","66,997","± 6,079"
"Springfield, MA Metro Area","66,997","± 4,435"
"Rockford, IL Metro Area","66,960","± 3,002"
"Lakeland-Winter Haven, FL Metro Area","66,909","± 1,958"
"Lima, OH Metro Area","66,891","± 7,302"
"Kankakee, IL Metro Area","66,788","± 7,492"
"Odessa, TX Metro Area","66,608","± 4,908"
"Great Falls, MT Metro Area","66,454","± 6,573"
"Hanford-Corcoran, CA Metro Area","66,429","± 6,657"
"Cape Girardeau, MO-IL Metro Area","66,427","± 6,045"
"Bangor, ME Metro Area","66,333","± 4,916"
"Fort Wayne, IN Metro Area","66,317","± 2,226"
"Little Rock-North Little Rock-Conway, AR Metro Area","66,225","± 1,839"
"Twin Falls, ID Metro Area","66,078","± 3,530"
"South Bend-Mishawaka, IN-MI Metro Area","65,834","± 2,483"
"Burlington, NC Metro Area","65,633","± 5,901"
"Tulsa, OK Metro Area","65,561","± 1,265"
"Roanoke, VA Metro Area","65,537","± 2,589"
"Topeka, KS Metro Area","65,301","± 2,633"
"Sandusky, OH Metro Area","65,177","± 5,318"
"Pueblo, CO Metro Area","65,161","± 4,833"
"Dalton, GA Metro Area","65,143","± 7,398"
"Lake Charles, LA Metro Area","65,122","± 5,157"
"Evansville, IN Metro Area","65,073","± 3,718"
"Vineland, NJ Metro Area","64,908","± 6,355"
"Elizabethtown, KY Metro Area","64,904","± 6,772"
"Grand Junction, CO Metro Area","64,722","± 8,315"
"Baton Rouge, LA Metro Area","64,550","± 2,748"
"Winston-Salem, NC Metro Area","64,406","± 2,048"
"Grants Pass, OR Metro Area","64,170","± 6,663"
"Binghamton, NY Metro Area","64,035","± 3,584"
"Memphis, TN-MS-AR Metro Area","64,025","± 1,951"
"Amarillo, TX Metro Area","63,994","± 3,203"
"Tallahassee, FL Metro Area","63,993","± 2,884"
"Longview, TX Metro Area","63,956","± 3,599"
"Canton-Massillon, OH Metro Area","63,774","± 3,658"
"Wichita Falls, TX Metro Area","63,502","± 4,127"
"Lewiston-Auburn, ME Metro Area","63,404","± 5,117"
"Jackson, MI Metro Area","63,338","± 3,705"
"Greensboro-High Point, NC Metro Area","63,280","± 2,430"
"Staunton-Stuarts Draft, VA Metro Area","63,275","± 5,154"
"Chico, CA Metro Area","63,222","± 3,411"
"Enid, OK Metro Area","63,161","± 9,114"
"Toledo, OH Metro Area","63,074","± 2,590"
"Manhattan, KS Metro Area","63,033","± 4,197"
"Springfield, MO Metro Area","62,921","± 2,408"
"Beaumont-Port Arthur, TX Metro Area","62,896","± 3,308"
"Yuma, AZ Metro Area","62,888","± 5,067"
"Michigan City-La Porte, IN Metro Area","62,868","± 5,234"
"Waco, TX Metro Area","62,743","± 3,765"
"St. Joseph, MO-KS Metro Area","62,682","± 4,612"
"Corpus Christi, TX Metro Area","62,499","± 4,076"
"Niles, MI Metro Area","62,460","± 2,822"
"Waterloo-Cedar Falls, IA Metro Area","62,381","± 3,760"
"Montgomery, AL Metro Area","62,362","± 3,193"
"Williamsport, PA Metro Area","62,135","± 4,629"
"Rome, GA Metro Area","62,098","± 6,372"
"Champaign-Urbana, IL Metro Area","62,092","± 4,771"
"Utica-Rome, NY Metro Area","61,799","± 3,624"
"Owensboro, KY Metro Area","61,761","± 6,115"
"Paducah, KY-IL Metro Area","61,699","± 5,105"
"Florence-Muscle Shoals, AL Metro Area","61,606","± 3,905"
"Watertown-Fort Drum, NY Metro Area","61,512","± 3,622"
"Rocky Mount, NC Metro Area","61,388","± 5,103"
"Lafayette-West Lafayette, IN Metro Area","61,349","± 2,565"
"Blacksburg-Christiansburg-Radford, VA Metro Area","61,309","± 2,755"
"Kokomo, IN Metro Area","61,267","± 2,158"
"Abilene, TX Metro Area","61,262","± 4,667"
"Fayetteville, NC Metro Area","61,220","± 1,941"
"Spartanburg, SC Metro Area","61,196","± 3,146"
"Muskegon-Norton Shores, MI Metro Area","61,189","± 2,576"
"Cleveland, TN Metro Area","61,033","± 3,776"
"New Orleans-Metairie, LA Metro Area","61,000","± 1,556"
"Hinesville, GA Metro Area","60,732","± 4,704"
"Erie, PA Metro Area","60,663","± 1,932"
"Bowling Green, KY Metro Area","60,620","± 4,379"
"El Centro, CA Metro Area","60,243","± 4,440"
"Laredo, TX Metro Area","60,204","± 4,364"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","60,119","± 4,887"
"Gulfport-Biloxi, MS Metro Area","60,114","± 2,622"
"Flint, MI Metro Area","60,027","± 2,534"
"Greenville, NC Metro Area","59,946","± 4,330"
"Macon-Bibb County, GA Metro Area","59,750","± 3,819"
"Elmira, NY Metro Area","59,617","± 4,436"
"Jackson, TN Metro Area","59,532","± 4,700"
"Gainesville, FL Metro Area","59,290","± 3,733"
"Saginaw, MI Metro Area","59,265","± 3,198"
"Wheeling, WV-OH Metro Area","59,180","± 3,821"
"Morgantown, WV Metro Area","59,045","± 5,867"
"El Paso, TX Metro Area","59,037","± 2,523"
"Scranton--Wilkes-Barre, PA Metro Area","58,834","± 2,457"
"Bay City, MI Metro Area","58,675","± 5,300"
"Bloomington, IN Metro Area","58,666","± 4,250"
"Fort Smith, AR-OK Metro Area","58,609","± 2,821"
"Ocala, FL Metro Area","58,606","± 2,951"
"Jackson, MS Metro Area","58,592","± 3,154"
"Jonesboro, AR Metro Area","58,550","± 4,945"
"Morristown, TN Metro Area","58,401","± 5,725"
"Decatur, IL Metro Area","58,297","± 6,959"
"Tuscaloosa, AL Metro Area","58,193","± 4,104"
"Hickory-Lenoir-Morganton, NC Metro Area","58,164","± 3,683"
"Springfield, OH Metro Area","57,910","± 3,166"
"Joplin, MO-KS Metro Area","57,887","± 4,059"
"Huntington-Ashland, WV-KY-OH Metro Area","57,815","± 3,380"
"Auburn-Opelika, AL Metro Area","57,580","± 4,809"
"Merced, CA Metro Area","57,570","± 3,915"
"Battle Creek, MI Metro Area","57,514","± 4,443"
"Dothan, AL Metro Area","57,405","± 3,725"
"Farmington, NM Metro Area","57,324","± 6,031"
"Lafayette, LA Metro Area","57,311","± 4,305"
"Lubbock, TX Metro Area","57,093","± 2,907"
"Johnson City, TN Metro Area","56,846","± 3,765"
"Lawton, OK Metro Area","56,680","± 2,501"
"Mansfield, OH Metro Area","56,664","± 2,830"
"San Angelo, TX Metro Area","56,569","± 6,919"
"Las Cruces, NM Metro Area","56,451","± 2,244"
"Sumter, SC Metro Area","55,982","± 5,852"
"Lake Havasu City-Kingman, AZ Metro Area","55,954","± 2,952"
"Johnstown, PA Metro Area","55,748","± 3,183"
"Goldsboro, NC Metro Area","55,461","± 5,596"
"Charleston, WV Metro Area","55,415","± 2,787"
"Mobile, AL Metro Area","55,352","± 2,742"
"Hattiesburg, MS Metro Area","55,336","± 3,516"
"Muncie, IN Metro Area","55,206","± 4,856"
"Valdosta, GA Metro Area","54,924","± 5,777"
"Parkersburg-Vienna, WV Metro Area","54,906","± 4,882"
"Shreveport-Bossier City, LA Metro Area","54,904","± 3,567"
"College Station-Bryan, TX Metro Area","54,680","± 3,948"
"Columbus, GA-AL Metro Area","54,661","± 3,072"
"Hammond, LA Metro Area","54,417","± 6,250"
"Altoona, PA Metro Area","54,002","± 3,163"
"Kingsport-Bristol, TN-VA Metro Area","53,794","± 2,569"
"Homosassa Springs, FL Metro Area","53,777","± 3,376"
"McAllen-Edinburg-Mission, TX Metro Area","53,661","± 2,030"
"Weirton-Steubenville, WV-OH Metro Area","53,422","± 4,632"
"Albany, GA Metro Area","53,056","± 3,269"
"Beckley, WV Metro Area","52,437","± 5,491"
"Alexandria, LA Metro Area","52,390","± 5,890"
"Hot Springs, AR Metro Area","52,275","± 6,321"
"Brownsville-Harlingen, TX Metro Area","52,210","± 2,610"
"Gadsden, AL Metro Area","52,192","± 3,742"
"Sierra Vista-Douglas, AZ Metro Area","52,025","± 3,105"
"Youngstown-Warren, OH Metro Area","51,350","± 1,697"
"Sebring, FL Metro Area","51,165","± 4,524"
"Terre Haute, IN Metro Area","50,992","± 4,669"
"Anniston-Oxford, AL Metro Area","50,780","± 3,944"
"Texarkana, TX-AR Metro Area","50,711","± 1,823"
"Monroe, LA Metro Area","50,286","± 2,969"
"Florence, SC Metro Area","49,974","± 3,894"
"Eagle Pass, TX Metro Area","46,657","± 4,988"
"San Juan-Bayamón-Caguas, PR Metro Area","27,981","± 978"
"Arecibo, PR Metro Area","27,118","± 2,995"
"Guayama, PR Metro Area","21,345","± 2,657"
"Aguadilla, PR Metro Area","21,290","± 1,817"
"Ponce, PR Metro Area","20,978","± 2,259"
"Mayagüez, PR Metro Area","20,939","± 1,530"
